locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCF_000154045.1_ASM15404v1_00058	CDS	336				hypothetical protein
GCF_000154045.1_ASM15404v1_00059	CDS	177				hypothetical protein
GCF_000154045.1_ASM15404v1_00060	CDS	198				hypothetical protein
GCF_000154045.1_ASM15404v1_00061	CDS	327	raiA		COG1544	Ribosome-associated inhibitor A
GCF_000154045.1_ASM15404v1_00062	CDS	1179	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
GCF_000154045.1_ASM15404v1_00063	CDS	534		3.6.1.-	COG1986	Inosine/xanthosine triphosphatase
GCF_000154045.1_ASM15404v1_00064	CDS	312	trpR_1			Trp operon repressor
GCF_000154045.1_ASM15404v1_00065	CDS	672				hypothetical protein
GCF_000154045.1_ASM15404v1_00066	CDS	2547	chiA_1	3.2.1.14		Chitinase A
GCF_000154045.1_ASM15404v1_00067	CDS	858	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
GCF_000154045.1_ASM15404v1_00068	CDS	591				hypothetical protein
GCF_000154045.1_ASM15404v1_00069	CDS	780				hypothetical protein
GCF_000154045.1_ASM15404v1_00070	CDS	432	gspK_1	2.7.1.8	COG2971	Glucosamine kinase GspK
GCF_000154045.1_ASM15404v1_00071	CDS	159				hypothetical protein
GCF_000154045.1_ASM15404v1_00072	CDS	414	aroF_2	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
GCF_000154045.1_ASM15404v1_00073	CDS	213	gmhB_1	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
GCF_000154045.1_ASM15404v1_00074	CDS	843				hypothetical protein
GCF_000154045.1_ASM15404v1_00075	CDS	249	pepN_1	3.4.11.2	COG0308	Aminopeptidase N
GCF_000154045.1_ASM15404v1_00076	CDS	210	hutZ_1	1.14.99.58	COG0748	Heme oxygenase HutZ
GCF_000154045.1_ASM15404v1_00077	CDS	237				hypothetical protein
GCF_000154045.1_ASM15404v1_00078	CDS	255				hypothetical protein
GCF_000154045.1_ASM15404v1_00079	CDS	546	chbP_1	2.4.1.280		N,N'-diacetylchitobiose phosphorylase
GCF_000154045.1_ASM15404v1_00080	CDS	591				hypothetical protein
GCF_000154045.1_ASM15404v1_00081	CDS	336				hypothetical protein
GCF_000154045.1_ASM15404v1_00082	CDS	384	ychQ		COG3094	Protein YchQ
GCF_000154045.1_ASM15404v1_00083	CDS	432	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
GCF_000154045.1_ASM15404v1_00084	CDS	330				hypothetical protein
GCF_000154045.1_ASM15404v1_00085	CDS	417				hypothetical protein
GCF_000154045.1_ASM15404v1_00086	CDS	387				hypothetical protein
GCF_000154045.1_ASM15404v1_00087	CDS	561	brnQ_1		COG1114	Branched-chain amino acid transport system 2 carrier protein
GCF_000154045.1_ASM15404v1_00088	CDS	219	rplM_1		COG0102	50S ribosomal protein L13
GCF_000154045.1_ASM15404v1_00089	CDS	459				hypothetical protein
GCF_000154045.1_ASM15404v1_00090	CDS	609				hypothetical protein
GCF_000154045.1_ASM15404v1_00091	CDS	150				hypothetical protein
GCF_000154045.1_ASM15404v1_00092	CDS	357	torD_1		COG3381	Chaperone protein TorD
GCF_000154045.1_ASM15404v1_00093	CDS	582	smrA	3.1.-.-	COG2840	putative DNA endonuclease SmrA
GCF_000154045.1_ASM15404v1_00094	CDS	567	pnp_1	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
GCF_000154045.1_ASM15404v1_00095	CDS	225				hypothetical protein
GCF_000154045.1_ASM15404v1_00096	CDS	375				hypothetical protein
GCF_000154045.1_ASM15404v1_00097	CDS	1017	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
GCF_000154045.1_ASM15404v1_00098	CDS	687	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
GCF_000154045.1_ASM15404v1_00099	CDS	342	rlmB_1	2.1.1.185	COG0566	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
GCF_000154045.1_ASM15404v1_00100	CDS	183	mmsA_1	1.2.1.27	COG1012	Methylmalonate-semialdehyde dehydrogenase [acylating]
GCF_000154045.1_ASM15404v1_00101	CDS	630	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
GCF_000154045.1_ASM15404v1_00102	CDS	348	tolR_1			Tol-Pal system protein TolR
GCF_000154045.1_ASM15404v1_00103	CDS	294				hypothetical protein
GCF_000154045.1_ASM15404v1_00104	CDS	315	aroF_3	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
GCF_000154045.1_ASM15404v1_00105	CDS	417	tyrA_1		COG0287	T-protein
GCF_000154045.1_ASM15404v1_00106	CDS	276				hypothetical protein
GCF_000154045.1_ASM15404v1_00107	CDS	369				hypothetical protein
GCF_000154045.1_ASM15404v1_00108	CDS	336				hypothetical protein
GCF_000154045.1_ASM15404v1_00109	CDS	558	ppsA_1	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
GCF_000154045.1_ASM15404v1_00110	CDS	192				hypothetical protein
GCF_000154045.1_ASM15404v1_00111	CDS	369				hypothetical protein
GCF_000154045.1_ASM15404v1_00112	CDS	609				hypothetical protein
GCF_000154045.1_ASM15404v1_00113	CDS	372				hypothetical protein
GCF_000154045.1_ASM15404v1_00114	CDS	1677				hypothetical protein
GCF_000154045.1_ASM15404v1_00115	CDS	282				hypothetical protein
GCF_000154045.1_ASM15404v1_00116	CDS	300	phoB_1		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
GCF_000154045.1_ASM15404v1_00117	CDS	648				hypothetical protein
GCF_000154045.1_ASM15404v1_00118	CDS	366	tolC_1		COG1538	Outer membrane protein TolC
GCF_000154045.1_ASM15404v1_00119	CDS	321	oadA_1	7.2.4.2	COG0511	Oxaloacetate decarboxylase alpha chain
GCF_000154045.1_ASM15404v1_00120	CDS	447	prfB_1		COG1186	Peptide chain release factor RF2
GCF_000154045.1_ASM15404v1_00121	CDS	366	hemA_1	1.2.1.70	COG0373	Glutamyl-tRNA reductase
GCF_000154045.1_ASM15404v1_00122	CDS	351	prfA_1		COG0216	Peptide chain release factor RF1
GCF_000154045.1_ASM15404v1_00123	CDS	924	rhaS_1			HTH-type transcriptional activator RhaS
GCF_000154045.1_ASM15404v1_00124	CDS	1002				hypothetical protein
GCF_000154045.1_ASM15404v1_00125	CDS	516	nagK_1	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
GCF_000154045.1_ASM15404v1_00126	CDS	330				hypothetical protein
GCF_000154045.1_ASM15404v1_00127	CDS	318				hypothetical protein
GCF_000154045.1_ASM15404v1_00128	CDS	774	rhlE_1	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
GCF_000154045.1_ASM15404v1_00129	CDS	180				hypothetical protein
GCF_000154045.1_ASM15404v1_00130	CDS	345	cusS_1	2.7.13.3	COG0642	Sensor histidine kinase CusS
GCF_000154045.1_ASM15404v1_00131	CDS	306	mutH		COG3066	DNA mismatch repair protein MutH
GCF_000154045.1_ASM15404v1_00132	CDS	390				hypothetical protein
GCF_000154045.1_ASM15404v1_00133	CDS	141				hypothetical protein
GCF_000154045.1_ASM15404v1_00134	CDS	1851	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
GCF_000154045.1_ASM15404v1_00135	CDS	327				hypothetical protein
GCF_000154045.1_ASM15404v1_00136	CDS	138	bsn	3.1.-.-	COG2356	Extracellular ribonuclease
GCF_000154045.1_ASM15404v1_00137	CDS	468				hypothetical protein
GCF_000154045.1_ASM15404v1_00138	CDS	411				hypothetical protein
GCF_000154045.1_ASM15404v1_00139	CDS	285				hypothetical protein
GCF_000154045.1_ASM15404v1_00140	CDS	201	cysG_1		COG0007	Siroheme synthase
GCF_000154045.1_ASM15404v1_00141	CDS	402				hypothetical protein
GCF_000154045.1_ASM15404v1_00142	CDS	993				hypothetical protein
GCF_000154045.1_ASM15404v1_00143	CDS	348	licH_1	3.2.1.86	COG1486	putative 6-phospho-beta-glucosidase
GCF_000154045.1_ASM15404v1_00144	CDS	615				hypothetical protein
GCF_000154045.1_ASM15404v1_00145	CDS	201	rstA_1		COG0745	Transcriptional regulatory protein RstA
GCF_000154045.1_ASM15404v1_00146	CDS	405				hypothetical protein
GCF_000154045.1_ASM15404v1_00147	CDS	762	licH_2	3.2.1.86	COG1486	putative 6-phospho-beta-glucosidase
GCF_000154045.1_ASM15404v1_00148	CDS	231				hypothetical protein
GCF_000154045.1_ASM15404v1_00149	CDS	1704	araB_1	2.7.1.16	COG1069	Ribulokinase
GCF_000154045.1_ASM15404v1_00150	CDS	741	ulaF_1	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase UlaF
GCF_000154045.1_ASM15404v1_00151	CDS	453	flhB_1		COG1377	Flagellar biosynthetic protein FlhB
GCF_000154045.1_ASM15404v1_00152	CDS	444	gpsA_1	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
GCF_000154045.1_ASM15404v1_00153	CDS	162				hypothetical protein
GCF_000154045.1_ASM15404v1_00154	CDS	417				hypothetical protein
GCF_000154045.1_ASM15404v1_00155	CDS	909	mnmA_1	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
GCF_000154045.1_ASM15404v1_00156	CDS	384	lexA	3.4.21.88	COG1974	LexA repressor
GCF_000154045.1_ASM15404v1_00157	CDS	354				Azurin
GCF_000154045.1_ASM15404v1_00158	CDS	360			COG2200	putative signaling protein
GCF_000154045.1_ASM15404v1_00159	CDS	213				hypothetical protein
GCF_000154045.1_ASM15404v1_00160	CDS	636	aspC_1	2.6.1.1	COG1448	Aspartate aminotransferase
GCF_000154045.1_ASM15404v1_00161	CDS	552	mtlD_1	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
GCF_000154045.1_ASM15404v1_00162	CDS	531	mtlR		COG3722	Mannitol operon repressor
GCF_000154045.1_ASM15404v1_00163	CDS	1926	dhaR		COG3284	PTS-dependent dihydroxyacetone kinase operon regulatory protein
GCF_000154045.1_ASM15404v1_00164	CDS	681	ptsI_1	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
GCF_000154045.1_ASM15404v1_00165	CDS	639	nreC_1		COG2197	Oxygen regulatory protein NreC
GCF_000154045.1_ASM15404v1_00166	CDS	396	liaS	2.7.13.3	COG4585	Sensor histidine kinase LiaS
GCF_000154045.1_ASM15404v1_00167	CDS	480				hypothetical protein
GCF_000154045.1_ASM15404v1_00168	CDS	780				IS3 family transposase ISVpa2
GCF_000154045.1_ASM15404v1_00169	CDS	285				IS3 family transposase ISVpa2
GCF_000154045.1_ASM15404v1_00170	CDS	561	mlc_1		COG1940	Protein mlc
GCF_000154045.1_ASM15404v1_00171	CDS	354	yjbR_1		COG2315	putative protein YjbR
GCF_000154045.1_ASM15404v1_00172	CDS	429				hypothetical protein
GCF_000154045.1_ASM15404v1_00173	CDS	432				hypothetical protein
GCF_000154045.1_ASM15404v1_00174	CDS	702	dinG_1	3.6.4.12	COG1199	ATP-dependent DNA helicase DinG
GCF_000154045.1_ASM15404v1_00175	CDS	465	asnC_1		COG1522	Regulatory protein AsnC
GCF_000154045.1_ASM15404v1_00176	CDS	2043	prlC	3.4.24.70	COG0339	Oligopeptidase A
GCF_000154045.1_ASM15404v1_00177	CDS	840	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
GCF_000154045.1_ASM15404v1_00178	CDS	420				hypothetical protein
GCF_000154045.1_ASM15404v1_00179	CDS	285				hypothetical protein
GCF_000154045.1_ASM15404v1_00180	CDS	693	hemL_2	5.4.3.8		Glutamate-1-semialdehyde 2,1-aminomutase
GCF_000154045.1_ASM15404v1_00181	CDS	354				hypothetical protein
GCF_000154045.1_ASM15404v1_00182	CDS	450				hypothetical protein
GCF_000154045.1_ASM15404v1_00183	CDS	387	glgB_1	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
GCF_000154045.1_ASM15404v1_00184	CDS	792				hypothetical protein
GCF_000154045.1_ASM15404v1_00185	CDS	534				hypothetical protein
GCF_000154045.1_ASM15404v1_00186	CDS	546				IS66 family transposase ISPsy43
GCF_000154045.1_ASM15404v1_00187	CDS	333	pflA_1	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
GCF_000154045.1_ASM15404v1_00188	CDS	345	dosP	3.1.4.52	COG2199	Oxygen sensor protein DosP
GCF_000154045.1_ASM15404v1_00189	CDS	285	ilvM_1	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
GCF_000154045.1_ASM15404v1_00190	CDS	684	ilvG_1	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
GCF_000154045.1_ASM15404v1_00191	CDS	408				hypothetical protein
GCF_000154045.1_ASM15404v1_00192	CDS	645	phnX_1	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
GCF_000154045.1_ASM15404v1_00193	CDS	174	rlmI_1	2.1.1.191		Ribosomal RNA large subunit methyltransferase I
GCF_000154045.1_ASM15404v1_00194	CDS	393				hypothetical protein
GCF_000154045.1_ASM15404v1_00195	CDS	171	rpmG_1		COG0267	50S ribosomal protein L33
GCF_000154045.1_ASM15404v1_00196	CDS	237	rpmB		COG0227	50S ribosomal protein L28
GCF_000154045.1_ASM15404v1_00197	CDS	381				hypothetical protein
GCF_000154045.1_ASM15404v1_00198	CDS	246				hypothetical protein
GCF_000154045.1_ASM15404v1_00199	CDS	2826	uvrA		COG0178	UvrABC system protein A
GCF_000154045.1_ASM15404v1_00200	CDS	1779				hypothetical protein
GCF_000154045.1_ASM15404v1_00201	CDS	267	pucG_1	2.6.1.112	COG0075	(S)-ureidoglycine--glyoxylate transaminase
GCF_000154045.1_ASM15404v1_00202	CDS	189				hypothetical protein
GCF_000154045.1_ASM15404v1_00203	CDS	477				hypothetical protein
GCF_000154045.1_ASM15404v1_00204	CDS	306	leuD1_1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
GCF_000154045.1_ASM15404v1_00205	CDS	783				hypothetical protein
GCF_000154045.1_ASM15404v1_00206	CDS	855	djlA_1		COG1076	Co-chaperone protein DjlA
GCF_000154045.1_ASM15404v1_00207	CDS	165	sdhD_1		COG2142	Succinate dehydrogenase hydrophobic membrane anchor subunit
GCF_000154045.1_ASM15404v1_00208	CDS	456	fdhD_1			Sulfur carrier protein FdhD
GCF_000154045.1_ASM15404v1_00209	CDS	243				hypothetical protein
GCF_000154045.1_ASM15404v1_00210	CDS	456				hypothetical protein
GCF_000154045.1_ASM15404v1_00211	CDS	258				hypothetical protein
GCF_000154045.1_ASM15404v1_00212	CDS	171				hypothetical protein
GCF_000154045.1_ASM15404v1_00213	CDS	636	rhlE_2	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
GCF_000154045.1_ASM15404v1_00214	CDS	471	zntA_1	3.6.3.3	COG2217	Zinc/cadmium/lead-transporting P-type ATPase
GCF_000154045.1_ASM15404v1_00215	CDS	444	dusC_1	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
GCF_000154045.1_ASM15404v1_00216	CDS	354	fhs1	6.3.4.3		Formate--tetrahydrofolate ligase 1
GCF_000154045.1_ASM15404v1_00217	CDS	1146	dsbD_1	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
GCF_000154045.1_ASM15404v1_00218	CDS	726	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
GCF_000154045.1_ASM15404v1_00219	CDS	495	lptA		COG1934	Lipopolysaccharide export system protein LptA
GCF_000154045.1_ASM15404v1_00220	CDS	564	lptC		COG3117	Lipopolysaccharide export system protein LptC
GCF_000154045.1_ASM15404v1_00221	CDS	480	kdsD_1	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
GCF_000154045.1_ASM15404v1_00222	CDS	645	ald_1	1.4.1.1	COG0686	Alanine dehydrogenase
GCF_000154045.1_ASM15404v1_00223	CDS	651				hypothetical protein
GCF_000154045.1_ASM15404v1_00224	CDS	333				hypothetical protein
GCF_000154045.1_ASM15404v1_00225	CDS	1314	ygbN		COG2610	Inner membrane permease YgbN
GCF_000154045.1_ASM15404v1_00226	CDS	525	gntK	2.7.1.12	COG3265	Thermoresistant gluconokinase
GCF_000154045.1_ASM15404v1_00227	CDS	1467	edd_1	4.2.1.12	COG0129	Phosphogluconate dehydratase
GCF_000154045.1_ASM15404v1_00228	CDS	684	pstC_1		COG0573	Phosphate transport system permease protein PstC
GCF_000154045.1_ASM15404v1_00229	CDS	423				hypothetical protein
GCF_000154045.1_ASM15404v1_00230	CDS	258	malG_1		COG3833	Maltose/maltodextrin transport system permease protein MalG
GCF_000154045.1_ASM15404v1_00231	CDS	408	astD_1	1.2.1.71		N-succinylglutamate 5-semialdehyde dehydrogenase
GCF_000154045.1_ASM15404v1_00232	CDS	504				hypothetical protein
GCF_000154045.1_ASM15404v1_00233	CDS	384				hypothetical protein
GCF_000154045.1_ASM15404v1_00234	CDS	534				hypothetical protein
GCF_000154045.1_ASM15404v1_00235	rRNA	2819				23S ribosomal RNA
GCF_000154045.1_ASM15404v1_00236	CDS	108				hypothetical protein
GCF_000154045.1_ASM15404v1_00237	CDS	414				hypothetical protein
GCF_000154045.1_ASM15404v1_00238	CDS	312				hypothetical protein
GCF_000154045.1_ASM15404v1_00239	CDS	1422	nfdA_1	3.5.1.91		N-substituted formamide deformylase
GCF_000154045.1_ASM15404v1_00240	CDS	1197	oah1_1	2.5.1.-	COG2873	O-acetyl-L-homoserine sulfhydrylase 1
GCF_000154045.1_ASM15404v1_00241	CDS	936	putA_1		COG0506	Bifunctional protein PutA
GCF_000154045.1_ASM15404v1_00242	CDS	327	pucG_2	2.6.1.112	COG0075	(S)-ureidoglycine--glyoxylate transaminase
GCF_000154045.1_ASM15404v1_00243	CDS	1068	zraR		COG2204	Transcriptional regulatory protein ZraR
GCF_000154045.1_ASM15404v1_00244	CDS	1194			COG2081	putative protein
GCF_000154045.1_ASM15404v1_00245	CDS	324	uspB			Universal stress protein B
GCF_000154045.1_ASM15404v1_00246	CDS	528	ftnA	1.16.3.2	COG1528	putative bacterial non-heme ferritin
GCF_000154045.1_ASM15404v1_00247	CDS	426	uspA_1		COG0589	Universal stress protein A
GCF_000154045.1_ASM15404v1_00248	CDS	879	bioP		COG0697	Biotin transporter
GCF_000154045.1_ASM15404v1_00249	CDS	573				hypothetical protein
GCF_000154045.1_ASM15404v1_00250	CDS	780	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
GCF_000154045.1_ASM15404v1_00251	CDS	555	pdeB	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeB
GCF_000154045.1_ASM15404v1_00252	CDS	315				hypothetical protein
GCF_000154045.1_ASM15404v1_00253	CDS	222				hypothetical protein
GCF_000154045.1_ASM15404v1_00254	CDS	756				hypothetical protein
GCF_000154045.1_ASM15404v1_00255	CDS	309	pdxH_1	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
GCF_000154045.1_ASM15404v1_00256	CDS	219	hepA		COG1132	Heterocyst differentiation ATP-binding protein HepA
GCF_000154045.1_ASM15404v1_00257	CDS	432				hypothetical protein
GCF_000154045.1_ASM15404v1_00258	CDS	603				hypothetical protein
GCF_000154045.1_ASM15404v1_00259	CDS	747				hypothetical protein
GCF_000154045.1_ASM15404v1_00260	rRNA	1549				16S ribosomal RNA
GCF_000154045.1_ASM15404v1_00261	CDS	675				hypothetical protein
GCF_000154045.1_ASM15404v1_00262	CDS	240				hypothetical protein
GCF_000154045.1_ASM15404v1_00263	CDS	531	ydaF_1	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
GCF_000154045.1_ASM15404v1_00264	CDS	1494	putP		COG0591	High-affinity proline transporter PutP
GCF_000154045.1_ASM15404v1_00265	CDS	708				hypothetical protein
GCF_000154045.1_ASM15404v1_00266	CDS	216	putA_2			Bifunctional protein PutA
GCF_000154045.1_ASM15404v1_00267	CDS	357				hypothetical protein
GCF_000154045.1_ASM15404v1_00268	CDS	483				hypothetical protein
GCF_000154045.1_ASM15404v1_00269	CDS	309	menB_1	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
GCF_000154045.1_ASM15404v1_00270	CDS	384	liuE_1	4.1.3.26	COG0119	3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase
GCF_000154045.1_ASM15404v1_00271	CDS	129				hypothetical protein
GCF_000154045.1_ASM15404v1_00272	CDS	516	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
GCF_000154045.1_ASM15404v1_00273	CDS	624	birA_1	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
GCF_000154045.1_ASM15404v1_00274	CDS	183	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
GCF_000154045.1_ASM15404v1_00275	CDS	981				hypothetical protein
GCF_000154045.1_ASM15404v1_00276	CDS	1329	rpoN		COG1508	RNA polymerase sigma-54 factor
GCF_000154045.1_ASM15404v1_00277	CDS	288	hpf		COG1544	Ribosome hibernation promoting factor
GCF_000154045.1_ASM15404v1_00278	CDS	447	ptsN_2		COG1762	Nitrogen regulatory protein
GCF_000154045.1_ASM15404v1_00279	CDS	1647	epsD_1			Secretin GspD
GCF_000154045.1_ASM15404v1_00280	CDS	381	rpsG		COG0049	30S ribosomal protein S7
GCF_000154045.1_ASM15404v1_00281	CDS	414	ilvG_2	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
GCF_000154045.1_ASM15404v1_00282	CDS	285	ilvM_2	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
GCF_000154045.1_ASM15404v1_00283	CDS	939	ilvE_1	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
GCF_000154045.1_ASM15404v1_00284	CDS	420	potB_1		COG1176	Spermidine/putrescine transport system permease protein PotB
