locus_tag	ftype	length_bp	gene	EC_number	COG	product
GCF_000182345.1_ASM18234v1_00125	CDS	1185	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
GCF_000182345.1_ASM18234v1_00126	CDS	1173				hypothetical protein
GCF_000182345.1_ASM18234v1_00127	CDS	1431				hypothetical protein
GCF_000182345.1_ASM18234v1_00128	CDS	1365				hypothetical protein
GCF_000182345.1_ASM18234v1_00129	CDS	1125				hypothetical protein
GCF_000182345.1_ASM18234v1_00130	CDS	1434				hypothetical protein
GCF_000182345.1_ASM18234v1_00131	CDS	1119	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
GCF_000182345.1_ASM18234v1_00132	CDS	1194				hypothetical protein
GCF_000182345.1_ASM18234v1_00133	CDS	639				hypothetical protein
GCF_000182345.1_ASM18234v1_00134	CDS	390				hypothetical protein
GCF_000182345.1_ASM18234v1_00135	CDS	1581			COG1292	Glycine betaine/proline/choline/ectoine transporter
GCF_000182345.1_ASM18234v1_00136	CDS	516	ompA_1			Outer membrane protein A
GCF_000182345.1_ASM18234v1_00137	CDS	480				hypothetical protein
GCF_000182345.1_ASM18234v1_00138	CDS	4140				hypothetical protein
GCF_000182345.1_ASM18234v1_00139	CDS	585	azoR	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase
GCF_000182345.1_ASM18234v1_00140	CDS	498	napF_1		COG1145	Ferredoxin-type protein NapF
GCF_000182345.1_ASM18234v1_00141	CDS	612	dmsD		COG3381	Tat proofreading chaperone DmsD
GCF_000182345.1_ASM18234v1_00142	CDS	852	dmsC		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
GCF_000182345.1_ASM18234v1_00143	CDS	630	dmsB		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
GCF_000182345.1_ASM18234v1_00144	CDS	2448	dmsA	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
GCF_000182345.1_ASM18234v1_00145	CDS	1305				hypothetical protein
GCF_000182345.1_ASM18234v1_00146	CDS	348				hypothetical protein
GCF_000182345.1_ASM18234v1_00147	CDS	1950				hypothetical protein
GCF_000182345.1_ASM18234v1_00148	CDS	441				hypothetical protein
GCF_000182345.1_ASM18234v1_00149	CDS	531				hypothetical protein
GCF_000182345.1_ASM18234v1_00150	CDS	1443				hypothetical protein
GCF_000182345.1_ASM18234v1_00151	CDS	804	rlpA	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
GCF_000182345.1_ASM18234v1_00152	CDS	882	mrdB_1	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
GCF_000182345.1_ASM18234v1_00153	CDS	1932	deaD_1	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
GCF_000182345.1_ASM18234v1_00154	CDS	1539			COG2200	putative signaling protein
GCF_000182345.1_ASM18234v1_00155	CDS	1194	ackA_1	2.7.2.1	COG0282	Acetate kinase
GCF_000182345.1_ASM18234v1_00156	CDS	1314	bdlA_1		COG0840	Biofilm dispersion protein BdlA
GCF_000182345.1_ASM18234v1_00157	CDS	879				hypothetical protein
GCF_000182345.1_ASM18234v1_00158	CDS	552				hypothetical protein
GCF_000182345.1_ASM18234v1_00159	CDS	903	liuE_1	4.1.3.26	COG0119	3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase
GCF_000182345.1_ASM18234v1_00160	CDS	846	paaF_1	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
GCF_000182345.1_ASM18234v1_00161	CDS	1605		2.1.3.1	COG4799	Methylmalonyl-CoA carboxyltransferase 12S subunit
GCF_000182345.1_ASM18234v1_00162	CDS	1170	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
GCF_000182345.1_ASM18234v1_00163	CDS	375	zntR_1		COG0789	HTH-type transcriptional regulator ZntR
GCF_000182345.1_ASM18234v1_00164	CDS	1227	thlA_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
GCF_000182345.1_ASM18234v1_00165	CDS	1494	mmsA_1	1.2.1.27	COG1012	Methylmalonate-semialdehyde dehydrogenase [acylating]
GCF_000182345.1_ASM18234v1_00166	CDS	1155	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
GCF_000182345.1_ASM18234v1_00167	CDS	786	paaF_2	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
GCF_000182345.1_ASM18234v1_00168	CDS	1137	caiD	4.2.1.149		Carnitinyl-CoA dehydratase
GCF_000182345.1_ASM18234v1_00169	CDS	903	mmsB_1	1.1.1.31	COG2084	3-hydroxyisobutyrate dehydrogenase
GCF_000182345.1_ASM18234v1_00170	CDS	759	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
GCF_000182345.1_ASM18234v1_00171	CDS	882	cyoA		COG1622	Cytochrome bo(3) ubiquinol oxidase subunit 2
GCF_000182345.1_ASM18234v1_00172	CDS	2037	cyoB	7.1.1.3	COG0843	Cytochrome bo(3) ubiquinol oxidase subunit 1
GCF_000182345.1_ASM18234v1_00173	CDS	603	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
GCF_000182345.1_ASM18234v1_00174	CDS	312	cyoD		COG3125	Cytochrome bo(3) ubiquinol oxidase subunit 4
GCF_000182345.1_ASM18234v1_00175	CDS	867	cyoE	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
GCF_000182345.1_ASM18234v1_00176	CDS	516				hypothetical protein
GCF_000182345.1_ASM18234v1_00177	CDS	327				hypothetical protein
GCF_000182345.1_ASM18234v1_00178	CDS	1104		1.-.-.-		NADH oxidase
GCF_000182345.1_ASM18234v1_00179	CDS	1386		1.5.3.6		6-hydroxy-D-nicotine oxidase
GCF_000182345.1_ASM18234v1_00180	CDS	729	artP	3.6.3.-	COG4161	Arginine transport ATP-binding protein ArtP
GCF_000182345.1_ASM18234v1_00181	CDS	744	artI		COG0834	Putative ABC transporter arginine-binding protein 2
GCF_000182345.1_ASM18234v1_00182	CDS	690	artQ		COG4215	Arginine ABC transporter permease protein ArtQ
GCF_000182345.1_ASM18234v1_00183	CDS	669	artM		COG4160	Arginine ABC transporter permease protein ArtM
GCF_000182345.1_ASM18234v1_00184	CDS	537				hypothetical protein
GCF_000182345.1_ASM18234v1_00185	CDS	834	hdfR_1			HTH-type transcriptional regulator HdfR
GCF_000182345.1_ASM18234v1_00186	CDS	648	sspA_1		COG0625	Stringent starvation protein A
GCF_000182345.1_ASM18234v1_00187	CDS	1662		1.5.5.1	COG0644	Electron transfer flavoprotein-ubiquinone oxidoreductase
GCF_000182345.1_ASM18234v1_00188	CDS	1155	bkdB	2.3.1.168	COG0508	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
GCF_000182345.1_ASM18234v1_00189	CDS	984	pdhB	1.2.4.1	COG0022	Pyruvate dehydrogenase E1 component subunit beta
GCF_000182345.1_ASM18234v1_00190	CDS	1095	pdhA	1.2.4.1		Pyruvate dehydrogenase E1 component subunit alpha
GCF_000182345.1_ASM18234v1_00191	CDS	321				hypothetical protein
GCF_000182345.1_ASM18234v1_00192	CDS	627				hypothetical protein
GCF_000182345.1_ASM18234v1_00193	CDS	1353	hscA_1			Chaperone protein HscA
GCF_000182345.1_ASM18234v1_00194	CDS	474				hypothetical protein
GCF_000182345.1_ASM18234v1_00195	CDS	1593	ddc	4.1.1.86	COG0076	L-2,4-diaminobutyrate decarboxylase
GCF_000182345.1_ASM18234v1_00196	CDS	1254		1.5.1.43		Carboxynorspermidine synthase
GCF_000182345.1_ASM18234v1_00197	CDS	1134	nspC	4.1.1.96	COG0019	Carboxynorspermidine/carboxyspermidine decarboxylase
GCF_000182345.1_ASM18234v1_00198	CDS	513				hypothetical protein
GCF_000182345.1_ASM18234v1_00199	CDS	231				hypothetical protein
GCF_000182345.1_ASM18234v1_00200	CDS	981				hypothetical protein
GCF_000182345.1_ASM18234v1_00201	CDS	1233	pncC_1	3.5.1.42	COG1058	Nicotinamide-nucleotide amidohydrolase PncC
GCF_000182345.1_ASM18234v1_00202	CDS	279				hypothetical protein
GCF_000182345.1_ASM18234v1_00203	CDS	1134	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 1 subunit beta
GCF_000182345.1_ASM18234v1_00204	CDS	2283	nrdA	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 1 subunit alpha
GCF_000182345.1_ASM18234v1_00205	CDS	708	ubiG	2.1.1.222	COG2227	Ubiquinone biosynthesis O-methyltransferase
GCF_000182345.1_ASM18234v1_00206	CDS	2637	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
GCF_000182345.1_ASM18234v1_00207	CDS	708				hypothetical protein
GCF_000182345.1_ASM18234v1_00208	CDS	552				hypothetical protein
GCF_000182345.1_ASM18234v1_00209	CDS	1428	nrfA	1.7.2.2	COG3303	Cytochrome c-552
GCF_000182345.1_ASM18234v1_00210	CDS	603	nrfB			Cytochrome c-type protein NrfB
GCF_000182345.1_ASM18234v1_00211	CDS	687	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
GCF_000182345.1_ASM18234v1_00212	CDS	972				hypothetical protein
GCF_000182345.1_ASM18234v1_00213	CDS	1908	ccmF_1		COG1138	Cytochrome c-type biogenesis protein CcmF
GCF_000182345.1_ASM18234v1_00214	CDS	534	dsbE_1		COG0526	Thiol:disulfide interchange protein DsbE
GCF_000182345.1_ASM18234v1_00215	CDS	411				hypothetical protein
GCF_000182345.1_ASM18234v1_00216	CDS	597	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
GCF_000182345.1_ASM18234v1_00217	CDS	1263				hypothetical protein
GCF_000182345.1_ASM18234v1_00218	CDS	1383				hypothetical protein
GCF_000182345.1_ASM18234v1_00219	CDS	1038				hypothetical protein
GCF_000182345.1_ASM18234v1_00220	CDS	1083				hypothetical protein
GCF_000182345.1_ASM18234v1_00221	CDS	1542	ycbB	2.-.-.-	COG2989	putative L,D-transpeptidase YcbB
GCF_000182345.1_ASM18234v1_00222	CDS	549				hypothetical protein
GCF_000182345.1_ASM18234v1_00223	CDS	312	gloC_1	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
GCF_000182345.1_ASM18234v1_00224	CDS	363	gloC_2	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
GCF_000182345.1_ASM18234v1_00225	CDS	666				hypothetical protein
GCF_000182345.1_ASM18234v1_00226	CDS	390				hypothetical protein
GCF_000182345.1_ASM18234v1_00227	CDS	1089			COG4663	Monocarboxylate 2-oxoacid-binding periplasmic protein
GCF_000182345.1_ASM18234v1_00228	CDS	540				hypothetical protein
GCF_000182345.1_ASM18234v1_00229	CDS	1287	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
GCF_000182345.1_ASM18234v1_00230	CDS	1365				hypothetical protein
GCF_000182345.1_ASM18234v1_00231	CDS	639	nreC		COG2197	Oxygen regulatory protein NreC
GCF_000182345.1_ASM18234v1_00232	CDS	504				hypothetical protein
GCF_000182345.1_ASM18234v1_00233	CDS	1572			COG1292	Glycine betaine transporter 1
GCF_000182345.1_ASM18234v1_00234	CDS	1884	mcpA_1		COG0840	Methyl-accepting chemotaxis protein McpA
GCF_000182345.1_ASM18234v1_00235	CDS	720	dinG_1	3.1.-.-		3'-5' exonuclease DinG
GCF_000182345.1_ASM18234v1_00236	CDS	1890				hypothetical protein
GCF_000182345.1_ASM18234v1_00237	CDS	642				hypothetical protein
GCF_000182345.1_ASM18234v1_00238	CDS	1191	aspC	2.6.1.1	COG1448	Aspartate aminotransferase
GCF_000182345.1_ASM18234v1_00239	CDS	300				hypothetical protein
GCF_000182345.1_ASM18234v1_00240	CDS	231				hypothetical protein
GCF_000182345.1_ASM18234v1_00241	CDS	1392	norG_1		COG1167	HTH-type transcriptional regulator NorG
GCF_000182345.1_ASM18234v1_00242	CDS	225				hypothetical protein
GCF_000182345.1_ASM18234v1_00243	CDS	1401	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
GCF_000182345.1_ASM18234v1_00244	CDS	1626				hypothetical protein
GCF_000182345.1_ASM18234v1_00245	CDS	210				hypothetical protein
GCF_000182345.1_ASM18234v1_00246	CDS	225				hypothetical protein
GCF_000182345.1_ASM18234v1_00247	CDS	2226	rnr_1	3.1.13.1	COG0557	Ribonuclease R
GCF_000182345.1_ASM18234v1_00248	CDS	213	cspG_1		COG1278	Cold shock-like protein CspG
GCF_000182345.1_ASM18234v1_00249	CDS	204				hypothetical protein
GCF_000182345.1_ASM18234v1_00250	CDS	276				hypothetical protein
GCF_000182345.1_ASM18234v1_00251	CDS	129				hypothetical protein
GCF_000182345.1_ASM18234v1_00252	CDS	186				hypothetical protein
GCF_000182345.1_ASM18234v1_00253	CDS	372	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
GCF_000182345.1_ASM18234v1_00254	CDS	540				hypothetical protein
GCF_000182345.1_ASM18234v1_00255	CDS	1716				hypothetical protein
GCF_000182345.1_ASM18234v1_00256	CDS	1362	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
GCF_000182345.1_ASM18234v1_00257	CDS	1254	sdaC_1		COG0814	Serine transporter
GCF_000182345.1_ASM18234v1_00258	CDS	600	nudL	3.6.1.-		putative Nudix hydrolase NudL
GCF_000182345.1_ASM18234v1_00259	CDS	540				hypothetical protein
GCF_000182345.1_ASM18234v1_00260	CDS	1701	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
GCF_000182345.1_ASM18234v1_00261	CDS	1374	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
GCF_000182345.1_ASM18234v1_00262	CDS	1518	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
GCF_000182345.1_ASM18234v1_00263	CDS	186				hypothetical protein
GCF_000182345.1_ASM18234v1_00264	CDS	1377	ycjX		COG3106	putative protein YcjX
GCF_000182345.1_ASM18234v1_00265	CDS	1041				hypothetical protein
GCF_000182345.1_ASM18234v1_00266	CDS	1545	tyrR			Transcriptional regulatory protein TyrR
GCF_000182345.1_ASM18234v1_00267	CDS	585	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
GCF_000182345.1_ASM18234v1_00268	CDS	588				hypothetical protein
GCF_000182345.1_ASM18234v1_00269	CDS	474				hypothetical protein
GCF_000182345.1_ASM18234v1_00270	CDS	963	xerD_1			Tyrosine recombinase XerD
GCF_000182345.1_ASM18234v1_00271	CDS	414				hypothetical protein
GCF_000182345.1_ASM18234v1_00272	CDS	636	rhtC_1		COG1280	Threonine efflux protein
GCF_000182345.1_ASM18234v1_00273	CDS	459				hypothetical protein
GCF_000182345.1_ASM18234v1_00274	CDS	510				hypothetical protein
GCF_000182345.1_ASM18234v1_00275	CDS	543				hypothetical protein
GCF_000182345.1_ASM18234v1_00276	CDS	408				hypothetical protein
GCF_000182345.1_ASM18234v1_00277	CDS	828				hypothetical protein
GCF_000182345.1_ASM18234v1_00278	CDS	402	hit_1		COG0537	Protein hit
GCF_000182345.1_ASM18234v1_00279	CDS	603				hypothetical protein
GCF_000182345.1_ASM18234v1_00280	CDS	639				hypothetical protein
GCF_000182345.1_ASM18234v1_00281	CDS	429	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
GCF_000182345.1_ASM18234v1_00282	CDS	240				hypothetical protein
GCF_000182345.1_ASM18234v1_00283	CDS	273				hypothetical protein
GCF_000182345.1_ASM18234v1_00284	CDS	675				hypothetical protein
GCF_000182345.1_ASM18234v1_00285	CDS	399				hypothetical protein
GCF_000182345.1_ASM18234v1_00286	CDS	675				hypothetical protein
GCF_000182345.1_ASM18234v1_00287	CDS	522				hypothetical protein
GCF_000182345.1_ASM18234v1_00288	CDS	279				hypothetical protein
GCF_000182345.1_ASM18234v1_00289	CDS	285				hypothetical protein
GCF_000182345.1_ASM18234v1_00290	CDS	639				hypothetical protein
GCF_000182345.1_ASM18234v1_00291	CDS	582				hypothetical protein
GCF_000182345.1_ASM18234v1_00292	CDS	513				hypothetical protein
GCF_000182345.1_ASM18234v1_00293	CDS	510				hypothetical protein
