#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","17-VB00214","SAMN16252940","PRJNA665365","GCA_025920045.1","Complete",5.18505,45.2695,"chromosome 1:NZ_CP062153.1/CP062153.1; chromosome 2:NZ_CP062154.1/CP062154.1",,2,4535,"2022-10-31T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/920/045/GCF_025920045.1_ASM2592004v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","FORC_006","SAMN03140318","PRJNA261558","GCA_001304775.1","Complete",5.0941,45.3349,"chromosome 1:NZ_CP009765.1/CP009765.1; chromosome 2:NZ_CP009766.1/CP009766.1",,2,4581,"2015-10-01T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/304/775/GCF_001304775.1_ASM130477v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","2013V-1174","SAMN12648281","PRJNA266293","GCA_009763625.1","Complete",5.1637,45.2347,"chromosome 1:NZ_CP046787.1/CP046787.1; chromosome 2:NZ_CP046788.1/CP046788.1",,2,4566,"2019-12-18T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/763/625/GCF_009763625.1_ASM976362v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","MAVP-Q","SAMN05579852","PRJNA263814","GCA_002209725.2","Complete",5.25729,45.3,"chromosome 1:NZ_CP022473.1/CP022473.1; chromosome 2:NZ_CP022472.1/CP022472.1",,2,4699,"2017-07-19T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/209/725/GCF_002209725.2_ASM220972v2"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","MAVP-Q","SAMN03766034","PRJNA286197","GCA_001682175.1","Complete",5.25729,45.3,"chromosome 1:NZ_CP011884.1/CP011884.1; chromosome 2:NZ_CP011885.1/CP011885.1",,2,4712,"2016-07-08T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/682/175/GCF_001682175.1_ASM168217v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","20140829008-1","SAMN10436796","PRJNA503785","GCA_009883855.1","Complete",5.4206,45.348,"chromosome I:NZ_CP034294.1/CP034294.1; chromosome II:NZ_CP034295.1/CP034295.1; plasmid pVPGD2014-1:NZ_CP034296.1/CP034296.1; plasmid pVPGD2014-2:NZ_CP034297.1/CP034297.1",,4,4793,"2020-01-15T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/883/855/GCF_009883855.1_ASM988385v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","FORC_022","SAMN04241617","PRJNA301198","GCA_001879585.1","Complete",5.33969,45.2571,"chromosome 1:NZ_CP013248.1/CP013248.1; chromosome 2:NZ_CP013249.1/CP013249.1; plasmid unnamed:NZ_CP013250.1/CP013250.1",,3,4759,"2016-11-16T00:00:00Z",,"ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/879/585/GCF_001879585.1_ASM187958v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony95","SAMN17831973","PRJNA668870","GCA_019272815.1"," Chromosome",5.39209,46.1654,"chromosome 1:NZ_CP078699.1/CP078699.1; chromosome 2:NZ_CP078700.1/CP078700.1",,2,4251,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/272/815/GCA_019272815.1_ASM1927281v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/272/815/GCF_019272815.1_ASM1927281v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony91","SAMN17831972","PRJNA668870","GCA_019272835.1"," Chromosome",5.39209,46.1654,"chromosome 1:NZ_CP078701.1/CP078701.1; chromosome 2:NZ_CP078702.1/CP078702.1",,2,4251,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/272/835/GCA_019272835.1_ASM1927283v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/272/835/GCF_019272835.1_ASM1927283v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony89","SAMN17831971","PRJNA668870","GCA_019272855.1"," Chromosome",5.39209,46.1654,"chromosome 1:NZ_CP078703.1/CP078703.1; chromosome 2:NZ_CP078704.1/CP078704.1",,2,4251,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/272/855/GCA_019272855.1_ASM1927285v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/272/855/GCF_019272855.1_ASM1927285v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony83","SAMN17831970","PRJNA668870","GCA_019272875.1"," Chromosome",5.39209,46.1654,"chromosome 1:NZ_CP078705.1/CP078705.1; chromosome 2:NZ_CP078706.1/CP078706.1",,2,4251,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/272/875/GCA_019272875.1_ASM1927287v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/272/875/GCF_019272875.1_ASM1927287v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony52","SAMN17831969","PRJNA668870","GCA_019272895.1"," Chromosome",5.39209,46.1654,"chromosome 1:NZ_CP078707.1/CP078707.1; chromosome 2:NZ_CP078708.1/CP078708.1",,2,4251,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/272/895/GCA_019272895.1_ASM1927289v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/272/895/GCF_019272895.1_ASM1927289v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony395","SAMN17832001","PRJNA668870","GCA_019271475.1"," Chromosome",5.39209,46.1991,"chromosome 1:NZ_CP078643.1/CP078643.1; chromosome 2:NZ_CP078644.1/CP078644.1",,2,4194,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/271/475/GCA_019271475.1_ASM1927147v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/271/475/GCF_019271475.1_ASM1927147v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony544","SAMN17832020","PRJNA668870","GCA_019270675.1"," Chromosome",5.39209,46.0327,"chromosome 1:NZ_CP078605.1/CP078605.1; chromosome 2:NZ_CP078606.1/CP078606.1",,2,4247,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/270/675/GCA_019270675.1_ASM1927067v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/270/675/GCF_019270675.1_ASM1927067v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony553","SAMN17832010","PRJNA668870","GCA_019271115.1"," Chromosome",5.39209,46.1654,"chromosome 1:NZ_CP078625.1/CP078625.1; chromosome 2:NZ_CP078626.1/CP078626.1",,2,4245,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/271/115/GCA_019271115.1_ASM1927111v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/271/115/GCF_019271115.1_ASM1927111v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony550","SAMN17832008","PRJNA668870","GCA_019271155.1"," Chromosome",5.39209,46.1991,"chromosome 1:NZ_CP078629.1/CP078629.1; chromosome 2:NZ_CP078630.1/CP078630.1",,2,4271,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/271/155/GCA_019271155.1_ASM1927115v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/271/155/GCF_019271155.1_ASM1927115v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony269","SAMN17831999","PRJNA668870","GCA_019271755.1"," Chromosome",5.39209,46.2654,"chromosome 1:NZ_CP078647.1/CP078647.1; chromosome 2:NZ_CP078648.1/CP078648.1",,2,4212,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/271/755/GCA_019271755.1_ASM1927175v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/271/755/GCF_019271755.1_ASM1927175v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony549","SAMN17832007","PRJNA668870","GCA_019271175.1"," Chromosome",5.39209,46.1991,"chromosome 1:NZ_CP078631.1/CP078631.1; chromosome 2:NZ_CP078632.1/CP078632.1",,2,4249,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/271/175/GCA_019271175.1_ASM1927117v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/271/175/GCF_019271175.1_ASM1927117v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony608","SAMN17839805","PRJNA668870","GCA_019273715.1"," Chromosome",5.39209,46.1654,"chromosome 1:NZ_CP078731.1/CP078731.1; chromosome 2:NZ_CP078732.1/CP078732.1",,2,4228,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/273/715/GCA_019273715.1_ASM1927371v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/273/715/GCF_019273715.1_ASM1927371v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony93","SAMN17831998","PRJNA668870","GCA_019271575.1"," Chromosome",5.39209,46.2654,"chromosome 1:NZ_CP078649.1/CP078649.1; chromosome 2:NZ_CP078650.1/CP078650.1",,2,4173,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/271/575/GCA_019271575.1_ASM1927157v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/271/575/GCF_019271575.1_ASM1927157v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony602","SAMN17832018","PRJNA668870","GCA_019270795.1"," Chromosome",5.39209,46.1654,"chromosome 1:NZ_CP078609.1/CP078609.1; chromosome 2:NZ_CP078610.1/CP078610.1",,2,4232,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/270/795/GCA_019270795.1_ASM1927079v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/270/795/GCF_019270795.1_ASM1927079v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony555","SAMN17832012","PRJNA668870","GCA_019271075.1"," Chromosome",5.39209,46.1654,"chromosome 1:NZ_CP078621.1/CP078621.1; chromosome 2:NZ_CP078622.1/CP078622.1",,2,4255,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/271/075/GCA_019271075.1_ASM1927107v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/271/075/GCF_019271075.1_ASM1927107v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony545","SAMN17832003","PRJNA668870","GCA_019271255.1"," Chromosome",5.39209,46.0991,"chromosome 1:NZ_CP078639.1/CP078639.1; chromosome 2:NZ_CP078640.1/CP078640.1",,2,4237,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/271/255/GCA_019271255.1_ASM1927125v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/271/255/GCF_019271255.1_ASM1927125v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony92","SAMN17831997","PRJNA668870","GCA_019271675.1"," Chromosome",5.39209,46.1991,"chromosome 1:NZ_CP078651.1/CP078651.1; chromosome 2:NZ_CP078652.1/CP078652.1",,2,4226,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/271/675/GCA_019271675.1_ASM1927167v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/271/675/GCF_019271675.1_ASM1927167v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony557","SAMN17832014","PRJNA668870","GCA_019271035.1"," Chromosome",5.39209,46.2654,"chromosome 1:NZ_CP078617.1/CP078617.1; chromosome 2:NZ_CP078618.1/CP078618.1",,2,4205,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/271/035/GCA_019271035.1_ASM1927103v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/271/035/GCF_019271035.1_ASM1927103v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony524","SAMN17839804","PRJNA668870","GCA_019273735.1"," Chromosome",5.39209,46.1991,"chromosome 1:NZ_CP078733.1/CP078733.1; chromosome 2:NZ_CP078734.1/CP078734.1",,2,4227,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/273/735/GCA_019273735.1_ASM1927373v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/273/735/GCF_019273735.1_ASM1927373v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony525","SAMN17831994","PRJNA668870","GCA_019271915.1"," Chromosome",5.39209,46.0991,"chromosome 1:NZ_CP078657.1/CP078657.1; chromosome 2:NZ_CP078658.1/CP078658.1",,2,4233,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/271/915/GCA_019271915.1_ASM1927191v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/271/915/GCF_019271915.1_ASM1927191v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony601","SAMN17832017","PRJNA668870","GCA_019270875.1"," Chromosome",5.39209,46.0991,"chromosome 1:NZ_CP078611.1/CP078611.1; chromosome 2:NZ_CP078612.1/CP078612.1",,2,4248,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/270/875/GCA_019270875.1_ASM1927087v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/270/875/GCF_019270875.1_ASM1927087v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony548","SAMN17832006","PRJNA668870","GCA_019271195.1"," Chromosome",5.39209,46.0991,"chromosome 1:NZ_CP078633.1/CP078633.1; chromosome 2:NZ_CP078634.1/CP078634.1",,2,4225,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/271/195/GCA_019271195.1_ASM1927119v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/271/195/GCF_019271195.1_ASM1927119v1"
"Vibrio parahaemolyticus","Bacteria;Pseudomonadota;Gammaproteobacteria","Colony559","SAMN17832016","PRJNA668870","GCA_019270995.1"," Chromosome",5.39209,46.1654,"chromosome 1:NZ_CP078613.1/CP078613.1; chromosome 2:NZ_CP078614.1/CP078614.1",,2,4217,"2021-07-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/270/995/GCA_019270995.1_ASM1927099v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/270/995/GCF_019270995.1_ASM1927099v1"
