Biosample_ID,Isolation_Source,Host_Source,Description_Source,Label,genome_ID
SAMN02338944,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S091,Clinical,GCF_000490515.1_S091
SAMN02338943,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S090,Clinical,GCF_000490535.1_S090
SAMN02338942,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S088,Clinical,GCF_000490555.1_S088
SAMN02338941,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S087,Clinical,GCF_000490575.1_S087
SAMN02338940,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S086,Clinical,GCF_000490595.1_S086
SAMN02338939,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S083,Clinical,GCF_000490615.1_S083
SAMN02338938,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S082,Clinical,GCF_000490635.1_S082
SAMN02338937,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S081,Clinical,GCF_000490655.1_S081
SAMN02338936,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S079,Clinical,GCF_000490675.1_S079
SAMN02338935,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S078,Clinical,GCF_000490695.1_S078
SAMN02338934,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S077,Clinical,GCF_000490715.1_S077
SAMN02338933,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S076,Clinical,GCF_000490735.1_S076
SAMN02338932,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S075,Clinical,GCF_000490755.1_S075
SAMN02338931,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S074,Clinical,GCF_000490775.1_S074
SAMN02338930,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S073,Clinical,GCF_000490795.1_S073
SAMN02338929,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S072,Clinical,GCF_000490815.1_S072
SAMN02338928,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S071,Clinical,GCF_000490835.1_S071
SAMN02338927,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S070,Clinical,GCF_000490855.1_S070
SAMN02338926,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S069,Clinical,GCF_000490875.1_S069
SAMN02338925,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S068,Clinical,GCF_000490895.1_S068
SAMN02338924,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S067,Clinical,GCF_000490915.1_S067
SAMN02338923,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S066,Clinical,GCF_000490935.1_S066
SAMN02338922,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S065,Clinical,GCF_000490955.1_S065
SAMN02338921,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S064,Clinical,GCF_000490975.1_S064
SAMN02338920,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S063,Clinical,GCF_000490995.1_S063
SAMN02338919,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S062,Clinical,GCF_000491015.1_S062
SAMN02338918,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S060,Clinical,GCF_000491035.1_S060
SAMN02338917,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S058,Clinical,GCF_000491055.1_S058
SAMN02338916,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S057,Clinical,GCF_000491075.1_S057
SAMN02338915,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S056,Clinical,GCF_000491095.1_S056
SAMN02338914,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S055,Clinical,GCF_000491115.1_S055
SAMN02338913,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S054,Clinical,GCF_000491135.1_S054
SAMN02338912,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S053,Clinical,GCF_000491155.1_S053
SAMN02338911,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S052,Non_clinical,GCF_000491175.1_S052
SAMN02338910,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S049,Clinical,GCF_000491195.1_S049
SAMN02338909,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S048,Non_clinical,GCF_000491215.1_S048
SAMN02338908,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S047,Non_clinical,GCF_000491235.1_S047
SAMN02338907,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S046,Non_clinical,GCF_000491255.1_S046
SAMN02338906,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S045,Clinical,GCF_000491275.1_S045
SAMN02338905,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S044,Clinical,GCF_000491295.1_S044
SAMN02338904,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S043,Clinical,GCF_000491315.1_S043
SAMN02338903,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S042,Clinical,GCF_000491335.1_S042
SAMN02338902,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S041,Clinical,GCF_000491355.1_S041
SAMN02338901,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S040,Clinical,GCF_000491375.1_S040
SAMN02338900,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S039,Clinical,GCF_000491395.1_S039
SAMN02338899,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S038,Non_clinical,GCF_000491415.1_S038
SAMN02338898,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S037,Clinical,GCF_000491435.1_S037
SAMN02338897,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S036,Clinical,GCF_000491455.1_S036
SAMN02338896,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S035,Clinical,GCF_000491475.1_S035
SAMN02338895,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S034,Clinical,GCF_000491495.1_S034
SAMN02338894,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S033,Clinical,GCF_000491515.1_S033
SAMN02338893,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S032,Clinical,GCF_000491535.1_S032
SAMN02338892,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S031,Clinical,GCF_000491555.1_S031
SAMN02338891,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S030,Clinical,GCF_000491575.1_S030
SAMN02338890,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S029,Non_clinical,GCF_000491595.1_S029
SAMN02338889,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S028,Clinical,GCF_000491615.1_S028
SAMN02338888,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S027,Clinical,GCF_000491635.1_S027
SAMN02338887,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S026,Clinical,GCF_000491655.1_S026
SAMN02338886,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S025,Clinical,GCF_000491675.1_S025
SAMN02338885,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S024,Clinical,GCF_000491695.1_S024
SAMN02338884,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S023,Clinical,GCF_000491715.1_S023
SAMN02338883,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S022,Clinical,GCF_000491735.1_S022
SAMN02338882,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S021,Clinical,GCF_000491755.1_S021
SAMN02338881,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S020,Clinical,GCF_000491775.1_S020
SAMN02338880,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S019,Clinical,GCF_000491795.1_S019
SAMN02338879,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S018,Clinical,GCF_000491815.1_S018
SAMN02338878,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S017,Clinical,GCF_000491835.1_S017
SAMN02338877,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S016,Clinical,GCF_000491855.1_S016
SAMN02338876,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S015,Clinical,GCF_000491875.1_S015
SAMN02338875,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S014,Clinical,GCF_000491895.1_S014
SAMN02338874,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S013,Clinical,GCF_000491915.1_S013
SAMN02338873,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S012,Clinical,GCF_000491935.1_S012
SAMN02338872,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S011,Clinical,GCF_000491955.1_S011
SAMN02338871,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S009,Clinical,GCF_000491975.1_S009
SAMN02338870,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S008,Clinical,GCF_000491995.1_S008
SAMN02338869,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S005,Clinical,GCF_000492015.1_S005
SAMN02338868,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S004,Clinical,GCF_000492035.1_S004
SAMN02338867,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S003,Clinical,GCF_000492055.1_S003
SAMN02338866,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S002,Clinical,GCF_000492075.1_S002
SAMN02338865,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S001,Clinical,GCF_000492095.1_S001
SAMN02338949,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S096,Clinical,GCF_000493225.1_S096
SAMN02338945,isolation_source_NA,host_source_NA,Generic sample from Vibrio parahaemolyticus S092,Clinical,GCF_000493715.1_S092
SAMN02435812,stool,Homo sapiens,Generic sample from Vibrio parahaemolyticus 10296,Clinical,GCF_000500105.2_vp10296
SAMN02471132,stool,Homo sapiens,Sample from Vibrio parahaemolyticus VIP4-0439,Clinical,GCF_000500365.1_VIP4-0439
SAMN02471129,stool,Homo sapiens,Sample from Vibrio parahaemolyticus VIP4-0445,Clinical,GCF_000500385.1_VIP4-0445
SAMN02471133,stool,Homo sapiens,Sample from Vibrio parahaemolyticus VIP4-0407,Clinical,GCF_000500405.1_VIP4-0407
SAMN02471130,stool,Homo sapiens,Sample from Vibrio parahaemolyticus VIP4-0434,Clinical,GCF_000500425.1_VIP4-0434
SAMN02471135,oyster,host_source_NA,Sample from Vibrio parahaemolyticus VIP4-0430,Non_clinical,GCF_000500445.1_VIP4-0430
SAMN02471136,big eye fish,host_source_NA,Sample from Vibrio parahaemolyticus VIP4-0443,Clinical,GCF_000500465.1_VIP4-0443
SAMN02471134,big eye fish,host_source_NA,Sample from Vibrio parahaemolyticus VIP4-0444,Clinical,GCF_000500485.1_VIP4-0444
SAMN02471128,stool,Homo sapiens,Sample from Vibrio parahaemolyticus VIP4-0395,Clinical,GCF_000500505.1_VIP4-0395
SAMN02471131,salmon sashimi,host_source_NA,Sample from Vibrio parahaemolyticus VIP4-0219,Clinical,GCF_000500525.1_VIP4-0219
SAMN02471137,oyster,Homo sapiens,Sample from Vibrio parahaemolyticus VIP4-0447,Non_clinical,GCF_000500545.1_VIP4-0447
SAMN01924261,stool,Homo sapiens,Vibrio parahaemolyticus 12310,Clinical,GCF_000500755.2_vp12310
SAMN02469946,water,host_source_NA,Sample from Vibrio parahaemolyticus 970107,Non_clinical,GCF_000510605.2_vp970107
SAMN02597369,stool,Homo sapiens,Sample from Vibrio parahaemolyticus B-265,Clinical,GCF_000516875.2_vpB265
SAMN02597368,water,host_source_NA,Sample from Vibrio parahaemolyticus 605,Non_clinical,GCF_000519365.2_vp605
SAMN02597367,stool,Homo sapiens,Sample from Vibrio parahaemolyticus 50,Clinical,GCF_000519385.2_vp50
SAMN02597366,stool,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus 3256,Clinical,GCF_000519405.2_vp3256
SAMN01924111,stool,Homo sapiens,Vibrio parahaemolyticus IDH02640,Clinical,GCF_000521825.2_vpIDH02640
SAMN01923903,water,host_source_NA,Vibrio parahaemolyticus EKP-028,Non_clinical,GCF_000522005.2_vpEKP026
SAMN01923897,stool,Homo sapiens,Vibrio parahaemolyticus IDH02189,Clinical,GCF_000522025.2_vpEKP026
SAMN01923807,stool,Homo sapiens,Vibrio parahaemolyticus SBR10290,Clinical,GCF_000522045.2_vpSBR10290
SAMN01923801,stool,Homo sapiens,Vibrio parahaemolyticus Peru-288,Clinical,GCF_000522065.2_vpPeru288
SAMN02584906,Stomach of Penaeus vannamei juvenile,Penaeus vannamei,Vibrio parahaemolyticus M0605 isolated from an AHPND/EMS affected shrimp,Non_clinical,GCF_000523375.1_M0605
SAMN02641511,water,missing,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus EKP-026,Non_clinical,GCF_000525005.2_vpEKP026
SAMN02252525,missing,Homo sapiens,Clinical or host-associated pathogen sample for Vibrio parahaemolyticus CFSAN001595,Clinical,GCF_000701045.2_ASM70104v2
SAMN02741349,missing,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000706825.2_ASM70682v2
SAMN02741363,stool,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000706845.2_ASM70684v2
SAMN02741364,stool,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000706865.2_ASM70686v2
SAMN02741372,stool,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000706885.2_ASM70688v2
SAMN02741359,stool,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000706925.1_ASM70692v2
SAMN02741377,wound,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000706945.2_ASM70694v2
SAMN02741396,stool,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000706965.2_ASM70696v2
SAMN02741391,stool,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000706985.2_ASM70698v2
SAMN02741376,stool,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000707005.2_ASM70700v2
SAMN02741375,stool,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000707025.1_ASM70702v2
SAMN02741348,environment,missing,Pathogen: environmental/food/other sample from Vibrio parahaemolyticus,Non_clinical,GCF_000707045.2_ASM70704v2
SAMN02741380,wound,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000707065.2_ASM70706v2
SAMN02741393,oyster,missing,Pathogen: environmental/food/other sample from Vibrio parahaemolyticus,Non_clinical,GCF_000707085.2_ASM70708v2
SAMN02741379,ear,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000707105.2_ASM70710v2
SAMN02741381,stool,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000707125.2_ASM70712v2
SAMN02741374,wound,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000707145.1_ASM70714v2
SAMN02741373,stool,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000707165.1_ASM70716v2
SAMN02741395,oyster,missing,Pathogen: environmental/food/other sample from Vibrio parahaemolyticus,Non_clinical,GCF_000707185.2_ASM70718v2
SAMN02741397,stool,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000707205.2_ASM70720v2
SAMN02741358,stool,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000707225.2_ASM70722v2
SAMN02741354,missing,Homo sapiens,Pathogen: clinical or host-associated sample from Vibrio parahaemolyticus,Clinical,GCF_000707245.2_ASM70724v2
SAMN02741401,oyster,missing,Pathogen: environmental/food/other sample from Vibrio parahaemolyticus,Non_clinical,GCF_000707265.2_ASM70726v2
